"시설별(1)","시설별(2)",시설별(3),자치구별(1),자치구별(2),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"합류식 (m)","계획연장",소계,합계,소계,8709062,8731933,8763778,8788750,8804577,8812469,8817685,8818576,8820387,8819303,9527509,9572652,9673354,9651045,9631946,9640641,9123901,9123901,9517531,9514478,9463937
"합류식 (m)","계획연장",소계,합계,종로구,-,-,-,-,393911,394186,394186,394289,395680,397326,362172,320232,322260,322180,322565,319870,319870,319870,340525,340876,333900
"합류식 (m)","계획연장",소계,합계,중구,-,-,-,-,265887,265887,265887,265887,265887,266177,262308,263415,265792,264400,260785,258634,258634,258634,264470,264888,264866
"합류식 (m)","계획연장",소계,합계,용산구,-,-,-,-,361079,361204,361411,362209,362965,363594,348630,331705,332856,336052,335026,334085,334085,334085,354498,354954,354593
"합류식 (m)","계획연장",소계,합계,성동구,-,-,-,-,274270,274865,275516,275624,275624,275407,287575,287296,293882,288386,284617,282796,282796,282796,296870,296825,297089
"합류식 (m)","계획연장",소계,합계,광진구,-,-,-,-,372252,372313,372313,372313,372904,373142,346999,346617,345748,347564,348167,348742,349303,349303,357042,358354,357482
"합류식 (m)","계획연장",소계,합계,동대문구,-,-,-,-,413646,413706,414296,412570,407341,406286,399459,395389,394738,394791,394197,393357,393357,393357,401060,401444,398916
"합류식 (m)","계획연장",소계,합계,중랑구,-,-,-,-,373771,374465,375161,375620,376350,376350,366331,376253,377475,379326,381695,381695,381695,381695,408477,404608,400430
"합류식 (m)","계획연장",소계,합계,성북구,-,-,-,-,464152,465364,463110,461376,460951,461348,468750,458334,455277,457028,455757,469470,469470,469470,482770,482038,479915
"합류식 (m)","계획연장",소계,합계,강북구,-,-,-,-,317031,317445,317918,317215,317973,317233,326472,329068,327992,329985,328836,329140,329140,329140,349850,349629,349736
"합류식 (m)","계획연장",소계,합계,도봉구,-,-,-,-,231713,231921,231921,231921,231921,232390,227846,269343,268617,269917,270082,270082,270082,270082,299909,303193,303246
"합류식 (m)","계획연장",소계,합계,노원구,-,-,-,-,354421,354488,356036,356856,356781,356781,352016,326687,318726,321025,322239,322239,322239,322239,354115,355942,355937
"합류식 (m)","계획연장",소계,합계,은평구,-,-,-,-,470212,470733,470791,470791,470071,460278,412669,446089,444908,400781,398851,398851,398851,398851,408814,417699,413474
"합류식 (m)","계획연장",소계,합계,서대문구,-,-,-,-,396328,396600,394892,394892,397409,399259,338154,338687,334442,317813,312745,312863,312863,312863,327011,325861,325849
"합류식 (m)","계획연장",소계,합계,마포구,-,-,-,-,409137,409197,409304,409304,409304,409974,396857,402997,406147,399178,394046,393953,393953,393953,413133,411967,412352
"합류식 (m)","계획연장",소계,합계,양천구,-,-,-,-,209295,209488,210246,210246,210388,210388,314420,317330,326406,330234,326721,326452,326452,326452,324152,324152,324152
"합류식 (m)","계획연장",소계,합계,강서구,-,-,-,-,384071,385505,386192,386715,387025,387595,390089,317330,376422,375893,382022,382022,382022,382022,395167,396414,398251
"합류식 (m)","계획연장",소계,합계,구로구,-,-,-,-,299634,300578,300946,301211,301211,301983,350163,352418,350420,352059,353563,353625,353625,353625,359907,358585,359023
"합류식 (m)","계획연장",소계,합계,금천구,-,-,-,-,231888,231888,231888,231888,231888,231896,232990,230960,235292,239867,229744,229872,229872,229872,240228,240210,240292
"합류식 (m)","계획연장",소계,합계,영등포구,-,-,-,-,444095,444933,445466,447182,447659,447854,462016,461233,466298,468066,463568,464094,464094,464094,489247,485904,481385
"합류식 (m)","계획연장",소계,합계,동작구,-,-,-,-,310265,309446,309501,309525,310030,310030,330226,328601,325662,326533,325611,325618,325618,325618,325618,325618,325618
"합류식 (m)","계획연장",소계,합계,관악구,-,-,-,-,393040,393194,393339,393282,392963,394297,399999,399035,403912,406460,403259,405031,405031,405031,419133,415280,415599
"합류식 (m)","계획연장",소계,합계,서초구,-,-,-,-,329755,329880,330340,330403,330403,331434,477470,482694,483014,480347,481072,481322,481322,481322,494961,494782,487030
"합류식 (m)","계획연장",소계,합계,강남구,-,-,-,-,494964,494964,495179,495179,495581,495786,565359,565198,565902,568398,569222,569742,569742,569742,600387,599266,582104
"합류식 (m)","계획연장",소계,합계,송파구,-,-,-,-,318353,318606,318606,318606,318606,318606,362552,397958,398160,416910,416724,416724,416724,416724,437563,433222,429895
"합류식 (m)","계획연장",소계,합계,강동구,-,-,-,-,291407,291613,293240,293472,293472,293890,331128,359655,355331,355931,353788,353060,353060,353060,372623,372767,372805
"합류식 (m)","계획연장",소계,합계,중랑처리장,-,-,-,-,-,-,-,-,-,-,142283,182959,195422,195448,197960,197969,-,-,-,-,-
"합류식 (m)","계획연장",소계,합계,탄천처리장,-,-,-,-,-,-,-,-,-,-,88610,97382,102923,104169,101148,109589,-,-,-,-,-
"합류식 (m)","계획연장",소계,합계,서남처리장,-,-,-,-,-,-,-,-,-,-,90667,94487,102717,102978,109317,108595,-,-,-,-,-
"합류식 (m)","계획연장",소계,합계,난지처리장,-,-,-,-,-,-,-,-,-,-,93299,93299,96613,99326,108619,101148,-,-,-,-,-
"합류식 (m)","시설연장",소계,합계,소계,8709062,8731933,8763778,8788750,8804577,8812469,8817685,8818576,8820387,8819303,9527509,9572652,9673354,9651045,9631946,9640641,9545036,9525602,9514471,9505253,9453039
"합류식 (m)","시설연장",소계,합계,종로구,-,-,-,-,393911,394186,394186,394289,395680,397326,362172,320232,322260,322180,322565,319870,340734,340191,340525,340876,333900
"합류식 (m)","시설연장",소계,합계,중구,-,-,-,-,265887,265887,265887,265887,265887,266177,262308,263415,265792,264400,260785,258634,265459,265651,264470,264888,264866
"합류식 (m)","시설연장",소계,합계,용산구,-,-,-,-,361079,361204,361411,362209,362965,363594,348630,331705,332856,336052,335026,334085,350395,350206,354498,354954,354593
"합류식 (m)","시설연장",소계,합계,성동구,-,-,-,-,274270,274865,275516,275624,275624,275407,287575,287296,293882,288386,284617,282796,294474,292659,296870,296825,297089
"합류식 (m)","시설연장",소계,합계,광진구,-,-,-,-,372252,372313,372313,372313,372904,373142,346999,346617,345748,347564,348167,348742,359389,357507,357042,358354,357482
"합류식 (m)","시설연장",소계,합계,동대문구,-,-,-,-,413646,413706,414296,412570,407341,406286,399459,395389,394738,394791,394197,393357,404161,401117,401060,401444,398916
"합류식 (m)","시설연장",소계,합계,중랑구,-,-,-,-,373771,374465,375161,375620,376350,376350,366331,376253,377475,379326,381695,381695,399177,399513,408477,404608,400430
"합류식 (m)","시설연장",소계,합계,성북구,-,-,-,-,464152,465364,463110,461376,460951,461348,468750,458334,455277,457028,455757,469470,495803,488769,482770,482038,479915
"합류식 (m)","시설연장",소계,합계,강북구,-,-,-,-,317031,317445,317918,317215,317973,317233,326472,329068,327992,329985,328836,329140,347899,349933,349850,349629,349736
"합류식 (m)","시설연장",소계,합계,도봉구,-,-,-,-,231713,231921,231921,231921,231921,232390,227846,269343,268617,269917,270082,270082,296966,299957,299909,303193,303246
"합류식 (m)","시설연장",소계,합계,노원구,-,-,-,-,354421,354488,356036,356856,356781,356781,352016,326687,318726,321025,322239,322239,354505,357086,354115,355942,355937
"합류식 (m)","시설연장",소계,합계,은평구,-,-,-,-,470212,470733,470791,470791,470071,460278,412669,446089,444908,400781,398851,398851,415463,412292,408814,417699,413474
"합류식 (m)","시설연장",소계,합계,서대문구,-,-,-,-,396328,396600,394892,394892,397409,399259,338154,338687,334442,317813,312745,312863,334294,330801,327011,325861,325849
"합류식 (m)","시설연장",소계,합계,마포구,-,-,-,-,409137,409197,409304,409304,409304,409974,396857,402997,406147,399178,394046,393953,414688,415134,413133,411967,412352
"합류식 (m)","시설연장",소계,합계,양천구,-,-,-,-,209295,209488,210246,210246,210388,210388,314420,317330,326406,330234,326721,326452,329449,329436,321934,317882,317845
"합류식 (m)","시설연장",소계,합계,강서구,-,-,-,-,384071,385505,386192,386715,387025,387595,390089,317330,376422,375893,382022,382022,395435,395516,395167,396414,398251
"합류식 (m)","시설연장",소계,합계,구로구,-,-,-,-,299634,300578,300946,301211,301211,301983,350163,352418,350420,352059,353563,353625,357887,358836,359907,358585,359023
"합류식 (m)","시설연장",소계,합계,금천구,-,-,-,-,231888,231888,231888,231888,231888,231896,232990,230960,235292,239867,229744,229872,241070,240849,240228,240210,240292
"합류식 (m)","시설연장",소계,합계,영등포구,-,-,-,-,444095,444933,445466,447182,447659,447854,462016,461233,466298,468066,463568,464094,491566,490992,489247,485904,481385
"합류식 (m)","시설연장",소계,합계,동작구,-,-,-,-,310265,309446,309501,309525,310030,310030,330226,328601,325662,326533,325611,325618,329855,325242,324777,322663,321027
"합류식 (m)","시설연장",소계,합계,관악구,-,-,-,-,393040,393194,393339,393282,392963,394297,399999,399035,403912,406460,403259,405031,420800,421053,419133,415280,415599
"합류식 (m)","시설연장",소계,합계,서초구,-,-,-,-,329755,329880,330340,330403,330403,331434,477470,482694,483014,480347,481072,481322,494649,494227,494961,494782,487030
"합류식 (m)","시설연장",소계,합계,강남구,-,-,-,-,494964,494964,495179,495179,495581,495786,565359,565198,565902,568398,569222,569742,594103,594775,600387,599266,582104
"합류식 (m)","시설연장",소계,합계,송파구,-,-,-,-,318353,318606,318606,318606,318606,318606,362552,397958,398160,416910,416724,416724,440097,438180,437563,433222,429895
"합류식 (m)","시설연장",소계,합계,강동구,-,-,-,-,291407,291613,293240,293472,293472,293890,331128,359655,355331,355931,353788,353060,376718,375680,372623,372767,372805
"합류식 (m)","시설연장",소계,합계,중랑처리장,-,-,-,-,-,-,-,-,-,-,142283,182959,195422,195448,197960,197969,-,-,-,-,-
"합류식 (m)","시설연장",소계,합계,탄천처리장,-,-,-,-,-,-,-,-,-,-,88610,97382,102923,104169,101148,109589,-,-,-,-,-
"합류식 (m)","시설연장",소계,합계,서남처리장,-,-,-,-,-,-,-,-,-,-,90667,94487,102717,102978,109317,108595,-,-,-,-,-
"합류식 (m)","시설연장",소계,합계,난지처리장,-,-,-,-,-,-,-,-,-,-,93299,93299,96613,99326,108619,101148,-,-,-,-,-
"합류식 (m)","사각형 암거",소계,합계,소계,912845,915285,927096,933019,934406,935453,937192,937514,939680,940408,1273586,1331473,1342129,1368849,1366583,1383490,1350244,1351746,1367365,1382008,1385894
"합류식 (m)","사각형 암거",소계,합계,종로구,-,-,-,-,45031,45306,45306,45409,45409,45409,53060,40829,40746,39747,39564,39564,50949,50954,50908,51128,51130
"합류식 (m)","사각형 암거",소계,합계,중구,-,-,-,-,27865,27865,27865,27865,27865,28155,26279,23256,23802,22741,23293,23293,27367,29007,28734,28918,28864
"합류식 (m)","사각형 암거",소계,합계,용산구,-,-,-,-,29183,29395,29359,29359,29270,29221,46484,30352,30950,32831,32787,32820,47225,47317,52553,52858,52861
"합류식 (m)","사각형 암거",소계,합계,성동구,-,-,-,-,39623,39623,39623,39590,39590,39590,40472,40465,41600,41290,40127,40301,52516,51665,53679,53921,53674
"합류식 (m)","사각형 암거",소계,합계,광진구,-,-,-,-,35014,35014,35014,35014,35272,35272,37870,36566,37986,38935,38963,39152,44803,42684,43643,43643,43641
"합류식 (m)","사각형 암거",소계,합계,동대문구,-,-,-,-,43969,44029,44029,44029,44029,44029,46793,48444,50629,50905,50917,50278,58500,58616,58662,58706,58568
"합류식 (m)","사각형 암거",소계,합계,중랑구,-,-,-,-,41966,41966,41966,41966,41966,41966,41966,42371,43165,45846,47427,47427,57740,57747,62939,62941,62763
"합류식 (m)","사각형 암거",소계,합계,성북구,-,-,-,-,76932,77108,77108,76902,76927,76927,61594,52002,53088,54143,54808,68489,81267,80749,80374,80518,80972
"합류식 (m)","사각형 암거",소계,합계,강북구,-,-,-,-,24577,24577,24577,24577,24577,24733,32139,33460,33951,34174,34010,34016,42895,43585,43686,43642,43642
"합류식 (m)","사각형 암거",소계,합계,도봉구,-,-,-,-,18689,18791,18791,18791,18791,18791,18791,25616,25332,27212,27174,27174,27758,27441,27502,27801,27873
"합류식 (m)","사각형 암거",소계,합계,노원구,-,-,-,-,33310,33310,33488,33488,33488,33488,33905,52644,52978,53245,54518,54518,67950,69786,69786,69913,70229
"합류식 (m)","사각형 암거",소계,합계,은평구,-,-,-,-,41825,41825,41883,41883,42129,42129,57452,45683,45973,40481,41737,41737,56054,55884,55773,60113,60091
"합류식 (m)","사각형 암거",소계,합계,서대문구,-,-,-,-,41901,41901,41901,41901,41901,41901,26227,26383,26148,27132,25773,26313,37832,37632,37650,37896,37896
"합류식 (m)","사각형 암거",소계,합계,마포구,-,-,-,-,29327,29327,29327,29327,29327,29327,29355,38818,39220,42743,43191,43191,59647,59628,59694,60929,60915
"합류식 (m)","사각형 암거",소계,합계,양천구,-,-,-,-,12670,12670,12670,12670,12670,12670,52619,52619,54591,54944,54818,54803,59005,59004,59002,59033,59034
"합류식 (m)","사각형 암거",소계,합계,강서구,-,-,-,-,64937,65105,65448,65556,65838,65838,51981,52619,47628,48968,52178,52178,57841,57841,57944,60945,61679
"합류식 (m)","사각형 암거",소계,합계,구로구,-,-,-,-,20401,20401,20401,20401,20401,20401,42034,42786,43776,44824,45709,45719,48358,49086,49645,52030,52030
"합류식 (m)","사각형 암거",소계,합계,금천구,-,-,-,-,37056,37056,37056,37056,37593,37593,37947,39067,38326,41146,42424,42770,45658,45654,45950,45969,45964
"합류식 (m)","사각형 암거",소계,합계,영등포구,-,-,-,-,60622,60676,61710,62040,62040,62040,50031,48084,49400,50006,50201,50377,76159,76247,76226,76566,76720
"합류식 (m)","사각형 암거",소계,합계,동작구,-,-,-,-,29124,29124,29124,29144,29649,29649,28395,27970,28094,28679,28591,28598,31945,31624,31502,31547,31465
"합류식 (m)","사각형 암거",소계,합계,관악구,-,-,-,-,32970,32970,33095,33095,33095,33221,37968,37470,36214,36535,37245,39331,42955,42953,42949,42976,43348
"합류식 (m)","사각형 암거",소계,합계,서초구,-,-,-,-,40002,40002,40002,40002,40002,40002,59283,62849,63488,64155,65291,65328,74071,74003,74715,74941,76130
"합류식 (m)","사각형 암거",소계,합계,강남구,-,-,-,-,45824,45824,45844,45844,46246,46451,58868,58868,59837,61911,61768,62067,70273,70287,71470,71470,71475
"합류식 (m)","사각형 암거",소계,합계,송파구,-,-,-,-,29613,29613,29613,29613,29613,29613,30449,47336,49599,59620,60243,60243,73328,73323,73323,74532,74497
"합류식 (m)","사각형 암거",소계,합계,강동구,-,-,-,-,31975,31975,31992,31992,31992,31992,45722,51379,49899,50016,50047,50041,58148,59031,59056,59070,60434
"합류식 (m)","사각형 암거",소계,합계,중랑처리장,-,-,-,-,-,-,-,-,-,-,54396,124177,101298,101296,93937,93945,-,-,-,-,-
"합류식 (m)","사각형 암거",소계,합계,탄천처리장,-,-,-,-,-,-,-,-,-,-,25982,71573,27143,27144,72482,26833,-,-,-,-,-
"합류식 (m)","사각형 암거",소계,합계,서남처리장,-,-,-,-,-,-,-,-,-,-,69716,34014,71146,71823,26833,70501,-,-,-,-,-
"합류식 (m)","사각형 암거",소계,합계,난지처리장,-,-,-,-,-,-,-,-,-,-,75810,43771,76121,76357,70525,72482,-,-,-,-,-
"합류식 (m)","원형 암거",소계,합계,소계,7525184,7544952,7564081,7583007,7596928,7603872,7610198,7610400,7610439,7607012,8253351,8241179,8329781,8282117,8264592,8256548,8194438,8173502,8146496,8122636,8066527
"합류식 (m)","원형 암거",소계,합계,종로구,-,-,-,-,314497,314497,314497,314497,315888,316207,309112,279403,280149,282433,283001,280256,289734,289186,289567,289697,282719
"합류식 (m)","원형 암거",소계,합계,중구,-,-,-,-,234099,234099,234099,234099,234099,234099,236029,240159,241990,241659,237492,235341,238084,236637,235729,235962,235995
"합류식 (m)","원형 암거",소계,합계,용산구,-,-,-,-,303957,304082,304325,305123,305968,306631,301855,301353,301906,303221,302065,301090,302995,302714,301771,301921,301557
"합류식 (m)","원형 암거",소계,합계,성동구,-,-,-,-,206869,207464,208115,208256,208256,208039,247103,246831,252282,247096,244489,242495,241958,240994,243191,242904,243415
"합류식 (m)","원형 암거",소계,합계,광진구,-,-,-,-,330431,330492,330492,330492,330825,331063,309129,310051,307762,308629,309204,309589,314586,314823,313398,314711,313842
"합류식 (m)","원형 암거",소계,합계,동대문구,-,-,-,-,365858,365858,366184,364458,359165,358110,352666,346946,344109,343886,343279,343079,345661,342502,342398,342738,340348
"합류식 (m)","원형 암거",소계,합계,중랑구,-,-,-,-,321345,322039,322735,323194,323924,323924,324365,333882,334311,333480,334268,334268,341437,341766,345538,341667,337668
"합류식 (m)","원형 암거",소계,합계,성북구,-,-,-,-,381110,382146,379892,378364,377914,378311,407156,406332,402189,402885,400948,400981,414537,408020,402396,401520,398934
"합류식 (m)","원형 암거",소계,합계,강북구,-,-,-,-,288167,288581,289054,288351,289109,288213,294333,295609,294041,295811,294826,295124,305003,306348,306164,305987,306093
"합류식 (m)","원형 암거",소계,합계,도봉구,-,-,-,-,208463,208586,208586,208586,208586,209055,209055,243727,243285,242705,242908,242908,269207,272516,272407,275392,275372
"합류식 (m)","원형 암거",소계,합계,노원구,-,-,-,-,316424,316491,317861,318261,318261,318261,318111,274043,265748,267780,267721,267721,286555,287300,284329,286029,285708
"합류식 (m)","원형 암거",소계,합계,은평구,-,-,-,-,398816,399306,399306,399306,398186,388393,355217,400406,398936,360300,357091,357091,359386,356385,353017,357562,353360
"합류식 (m)","원형 암거",소계,합계,서대문구,-,-,-,-,339257,339529,337821,337821,340338,342188,311927,312304,308294,290681,286971,286550,296462,293170,289361,287965,287953
"합류식 (m)","원형 암거",소계,합계,마포구,-,-,-,-,366345,366405,366512,366512,366512,367162,367502,364180,366927,356435,350855,350762,355041,355506,353440,351039,351437
"합류식 (m)","원형 암거",소계,합계,양천구,-,-,-,-,194703,194896,195654,195654,195796,195796,261801,264710,271815,275290,271903,271648,270444,270432,262932,258849,258811
"합류식 (m)","원형 암거",소계,합계,강서구,-,-,-,-,314102,315287,315631,316046,316074,316644,338102,264710,328788,326919,329837,329837,337588,337669,337217,335462,336565
"합류식 (m)","원형 암거",소계,합계,구로구,-,-,-,-,268316,269260,269628,269893,269893,270665,308130,309633,306643,307235,307854,307907,309529,309750,310262,306555,306993
"합류식 (m)","원형 암거",소계,합계,금천구,-,-,-,-,183396,183396,184638,184638,184638,184646,195043,191893,196966,198721,187101,187101,195412,195196,194278,194242,194327
"합류식 (m)","원형 암거",소계,합계,영등포구,-,-,-,-,381251,382035,381534,382920,383397,383592,411985,413149,416898,418060,413367,413717,415407,414744,413021,409338,404665
"합류식 (m)","원형 암거",소계,합계,동작구,-,-,-,-,279830,279011,279066,279066,279066,279066,301831,300631,297568,297854,297020,297020,297910,293617,293274,291116,289562
"합류식 (m)","원형 암거",소계,합계,관악구,-,-,-,-,352956,353092,355055,355055,354736,355690,362032,361564,367624,369852,365941,365627,377771,378027,376110,372231,372178
