"자치구별(1)",자치구별(2),2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"자치구별(1)",자치구별(2),하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황
"자치구별(1)",자치구별(2),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%)
"서울시",소계,10157,1235041,12.2,10228,1154266,11.3,10252,1024142,10.0,10261,1200807,11.7,10283,978331,9.5,10287,1125077,10.9,10291,1134528,11.0,10297,1354134,13.2,10487,1809596,17.3,10392,1853577,17.8,10570,1194110,11.3,10616,1151335,10.9,10682,814683,7.6,10701,616090,5.8,10728,1513884,14.1,10728,527285,4.9,10799,1594251,14.8,10828,2628834,24.3,10838,2273566,21.0
"서울시",종로구,392,24185,6.2,394,19385,4.9,394,11860,3.0,394,29184,7.4,394,30152,7.7,394,53854,13.7,396,45081,11.4,397,52157,13.1,378,137710,36.4,339,80169,23.6,340,50789,15.0,339,34880,10.3,339,37987,11.2,337,24205,7.2,364,213140,58.6,364,15597,4.3,364,168953,46.4,364,185442,50.9,365,189821,52.0
"서울시",중구,265,13269,5.0,266,15495,5.8,266,22730,8.6,266,25180,9.5,266,22173,8.3,266,19882,7.5,266,24088,9.1,266,21210,8.0,266,27316,10.3,267,30321,11.3,270,15770,5.9,268,15337,5.7,265,12224,4.6,263,13093,5.0,272,11245,4.1,272,12355,4.5,272,14300,5.3,272,14606,5.4,272,14606,5.4
"서울시",용산구,363,26405,7.3,364,19888,5.5,364,17521,4.8,364,24724,6.8,365,1825,0.5,366,23830,6.5,367,25998,7.1,367,27827,7.6,366,24966,6.8,350,31947,9.1,350,31043,8.9,354,65965,18.6,353,29764,8.4,352,24628,7.0,368,24966,6.8,368,7015,1.9,373,11618,3.1,373,11618,3.1,373,11618,3.1
"서울시",성동구,271,62372,23.0,273,74805,27.4,274,61577,22.5,275,274865,-,276,62396,22.7,276,66211,24.0,276,68072,24.7,276,59983,21.7,291,83704,28.7,292,73451,25.2,298,87461,29.3,296,95722,32.3,292,26260,9.0,290,27865,9.6,304,144000,47.4,304,31350,10.3,306,7500,2.5,306,167854,54.9,306,21983,7.2
"서울시",광진구,368,88034,24.0,371,85954,23.2,372,71475,19.2,372,78000,21.0,372,46917,12.6,372,89593,24.1,373,90245,24.2,373,102952,27.6,347,168231,48.4,348,183646,52.8,347,30240,8.7,349,44746,12.8,350,35418,10.1,351,41119,11.7,362,48787,13.5,362,33848,9.4,363,22000,6.1,364,16713,4.6,364,18037,5.0
"서울시",동대문구,412,100869,24.5,413,72736,17.6,414,68797,16.6,414,7175,1.7,414,80227,19.4,413,54462,13.2,407,50552,12.4,406,57295,14.1,402,76871,19.1,401,56585,14.1,400,44460,11.1,401,55360,13.8,401,30424,7.6,400,45426,11.4,411,68721,16.7,411,36604,8.9,408,42351,10.4,408,56954,14.0,405,53978,13.3
"서울시",중랑구,391,108000,27.6,394,79192,20.1,396,56080,14.2,396,3980,1.0,397,67792,17.1,397,78166,19.7,398,84411,21.2,398,124508,31.3,388,284317,73.3,388,274157,70.7,390,77898,20.0,402,31666,7.9,405,20128,5.0,405,16387,4.1,423,16388,3.9,423,16561,3.9,432,35000,8.1,429,323995,75.5,429,14236,3.3
"서울시",성북구,471,31986,6.8,465,24934,5.4,464,29247,6.3,465,39424,8.5,463,45700,9.9,461,19274,4.2,461,25551,5.5,461,35919,7.8,479,32000,6.7,474,76932,16.2,471,18989,4.0,473,16383,3.5,471,14249,3.0,485,9490,2.0,514,87057,17.0,514,7554,1.5,506,46325,9.2,508,89012,17.5,506,94413,18.7
"서울시",강북구,333,64260,19.3,335,61350,18.3,337,86709,25.7,338,59000,17.5,338,52489,15.5,338,95574,28.3,338,67206,19.9,338,75298,22.3,329,91572,27.9,332,113788,34.2,331,55508,16.8,334,36190,10.8,333,24780,7.5,333,24940,7.5,355,24941,7.0,355,27223,7.7,357,127300,35.7,356,220729,61.9,357,131961,37.0
"서울시",도봉구,277,36650,13.2,278,28185,10.2,278,35419,12.8,278,29926,10.8,278,21605,7.8,278,17570,6.3,278,29313,10.6,278,24844,8.9,275,65678,23.9,293,29437,10.1,292,33180,11.4,293,46170,15.8,293,33270,11.3,293,26327,9.0,322,16610,5.2,322,16610,5.2,326,200000,61.4,329,128339,39.0,330,128339,38.9
"서울시",노원구,554,49177,8.9,553,62545,11.3,555,30596,5.5,555,60203,10.8,557,50630,9.1,558,28433,5.1,559,21399,3.8,559,38886,7.0,550,55724,10.1,387,87235,22.6,394,18223,4.6,397,59110,14.9,401,12412,3.1,401,11250,2.8,443,6930,1.6,443,7348,1.7,446,6256,1.4,449,17200,3.8,450,15100,3.4
"서울시",은평구,465,36300,7.8,470,14235,3.0,470,10225,2.2,471,21920,4.7,471,11235,2.4,471,10975,2.3,470,11130,2.4,460,16972,3.7,413,22434,5.4,448,38869,8.7,447,37745,8.5,455,35621,7.8,455,50139,11.0,455,12854,2.8,478,111698,23.4,478,13933,2.9,474,61758,13.0,483,163915,34.0,481,163915,34.1
"서울시",서대문구,395,35620,9.0,396,44865,11.3,396,49870,12.6,397,35655,9.0,396,23400,5.9,396,32110,8.1,397,26606,6.7,399,37352,9.4,346,44924,13.0,348,55686,16.0,347,35459,10.2,332,35459,10.7,332,33882,10.2,332,21566,6.5,353,44882,12.7,353,21116,6.0,348,20200,5.8,348,34395,9.9,349,32515,9.3
"서울시",마포구,452,42000,9.3,482,63558,13.2,483,50721,10.5,483,48236,10.0,483,37888,7.8,483,28860,6.0,483,38481,8.0,484,45992,9.5,471,66161,14.1,448,80982,18.1,451,46953,10.4,447,84464,18.9,444,43923,9.9,444,19242,4.3,465,143017,30.7,465,13709,2.9,464,99067,21.4,463,151786,32.8,463,151786,32.8
"서울시",양천구,299,22598,7.6,300,28600,9.5,301,36679,12.2,301,21480,7.1,302,23850,7.9,302,21491,7.1,303,16635,5.5,303,34443,11.4,366,31848,8.7,372,32363,8.7,383,55316,14.4,386,59218,15.3,388,45068,11.6,388,33956,8.8,393,34043,8.7,393,42873,10.9,391,84000,21.5,389,9519,2.4,389,24146,6.2
"서울시",강서구,456,38100,8.4,460,51529,11.2,462,42623,9.2,464,39182,8.5,476,52729,11.1,477,51488,10.8,477,66215,13.9,478,66955,14.0,479,46428,9.7,371,95218,25.7,472,46319,9.8,472,26305,5.6,506,35853,7.1,508,14948,2.9,527,10226,1.9,527,15417,2.9,564,14092,2.5,565,7796,1.4,566,7796,1.4
"서울시",구로구,298,31957,10.7,298,21000,7.0,300,22534,7.5,301,31866,10.6,301,31866,10.6,301,20300,6.7,301,23236,7.7,302,24366,8.1,366,27333,7.5,369,32884,8.9,370,64850,17.5,375,60562,16.2,380,86992,22.9,380,14652,3.9,387,16904,4.4,387,16904,4.4,391,28864,7.4,403,9645,2.4,403,13458,3.3
"서울시",금천구,232,23218,10.0,232,28900,12.5,232,16829,7.3,232,21190,9.1,232,19596,8.5,232,14531,6.3,232,19467,8.4,232,23271,10.0,237,24008,10.2,237,35040,14.8,242,33844,14.0,245,38345,15.7,249,25841,10.4,249,18641,7.5,258,18642,7.2,258,18430,7.1,259,58000,22.4,259,50037,19.3,259,50037,19.3
"서울시",영등포구,441,37952,8.6,443,28910,6.5,444,26468,6.0,445,29879,6.7,445,49172,11.0,447,40857,9.1,448,51055,11.4,448,30775,6.9,464,42316,9.1,466,48285,10.4,471,47981,10.2,473,28500,6.0,467,27199,5.8,469,21179,4.5,498,21207,4.3,498,20655,4.1,496,17348,3.5,493,21462,4.4,493,21462,4.4
"서울시",동작구,308,26250,8.5,310,31429,10.1,310,33225,10.7,309,34856,11.3,310,3500,1.1,310,35575,11.5,310,57923,18.7,310,41260,13.3,335,72785,21.8,334,47594,14.3,331,82930,25.1,332,51745,15.6,332,27014,8.1,332,25698,7.8,336,146349,43.5,336,13507,4.0,333,156461,47.0,332,18954,5.7,330,18954,5.7
"서울시",관악구,392,36590,9.3,392,40000,10.2,393,24184,6.2,393,23174,5.9,393,9908,2.5,393,19996,5.1,393,20351,5.2,394,24712,6.3,401,57632,14.4,401,45400,11.3,407,34772,8.6,409,33532,8.2,406,33087,8.2,408,23257,5.7,433,24880,5.7,433,24880,5.7,433,12627,2.9,431,220580,51.2,432,220580,51.1
"서울시",서초구,356,47929,13.5,356,43860,12.3,356,36520,10.3,357,47000,13.2,357,42560,11.9,357,42929,12.0,357,62513,17.5,359,89274,24.9,522,62780,12.0,528,12513,2.4,533,46816,8.8,538,20044,3.7,541,26564,4.9,543,22885,4.2,588,17583,3.0,588,17583,3.0,590,212647,36.1,598,202112,33.8,603,202112,33.5
"서울시",강남구,617,44133,7.2,618,61380,9.9,619,43803,7.1,619,48960,7.9,619,52983,8.6,619,111382,18.0,619,55541,9.0,620,87759,14.2,641,118025,18.4,641,113822,17.8,644,60605,9.4,647,63870,9.9,664,8330,1.3,665,15100,2.3,710,205426,28.9,710,23808,3.4,722,18885,2.6,724,238320,32.9,732,402685,55.0
"서울시",송파구,528,132735,25.1,531,57958,10.9,534,67281,12.6,534,75688,14.2,534,54844,10.3,534,90000,16.9,534,63480,11.9,534,86386,16.2,547,21000,3.8,644,64265,10.0,651,47028,7.2,656,33739,5.1,657,30155,4.6,657,55428,8.4,691,29893,4.3,691,51559,7.5,711,120000,16.9,709,193811,27.3,707,193811,27.4
"서울시",강동구,394,42596,10.8,396,49454,12.5,396,39977,10.1,396,39130,9.9,398,32846,8.3,399,57734,14.5,399,34956,8.8,399,60073,15.1,412,72913,17.7,447,66157,14.8,442,38338,8.7,442,33452,7.6,443,30376,6.9,445,29214,6.6,472,26349,5.6,472,20846,4.4,471,8699,1.9,473,74040,15.7,474,76217,16.1
"서울시",탄천처리장,86,9791,11.4,87,22300,25.6,87,4600,5.3,87,5400,6.2,88,4148,4.7,89,-,-,89,9400,10.6,89,12000,13.5,89,8280,9.3,97,11480,11.8,103,10700,10.4,195,9000,4.6,109,8512,7.8,110,7960,7.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",서남처리장,88,6265,7.1,89,4400,4.9,90,992,1.1,91,19582,21.6,91,12000,13.2,91,-,-,91,8823,9.7,91,16050,17.6,91,9200,10.2,94,9800,10.4,103,7800,7.6,99,13000,13.1,109,9458,8.7,108,3420,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",중랑처리장,167,12000,7.2,172,11791,6.9,171,3200,1.9,171,4148,2.4,173,12100,7.0,174,-,-,176,14800,8.4,183,13615,7.4,142,11440,8.0,183,2551,1.4,195,10093,5.2,104,12500,12.0,198,13192,6.7,198,7419,3.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",난지처리장,87,3800,4.4,91,5628,6.2,94,22400,23.9,94,21800,23.2,94,21800,23.2,94,-,-,94,22000,23.4,93,22000,23.7,93,22000,23.6,93,23000,24.7,97,23000,23.8,103,10450,10.2,101,2182,2.2,101,3941,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
